R1,R2,R3,R4,barrier
S[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],12.3
S=C=N[*:1],[O+]#C[*:2],c1cn([*:3])cn1,c1c[n+]([*:4])ccn1,18.5
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1c[n+]([*:4])ccn1,11.3
S=C=N[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1c[n+]([*:4])ccn1,13.6
F[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],21.8
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],4.9
Cl[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],10.7
O=C=N[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,13.7
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,14.0
N#C[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.3
C#C[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[p+]([*:4])cc1,8.9
O[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,23.2
S=C=N[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],14.5
S=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[p+]([*:4])cc1,19.2
O=[N+]([O-])[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],5.2
O[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1c[n+]([*:4])ccn1,21.4
Br[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,7.9
S=C=N[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],15.9
O=[N+]([O-])[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],5.2
C#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,12.9
S[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],6.3
F[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,15.1
O=[N+]([O-])[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cn([*:4])cn1,10.4
O=C=N[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],12.4
F[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,18.7
C#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,c1c[n+]([*:4])ccn1,15.1
Cl[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,9.8
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],4.6
Br[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,9.8
Br[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],10.1
Cl[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.9
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],5.2
S=C=N[*:1],C[N+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],8.3
S[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,13.9
Br[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.3
S[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1c[n+]([*:4])ccn1,11.1
C#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cn([*:4])cn1,10.9
S=C=N[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1c[n+]([*:4])ccn1,16.5
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],4.2
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.0
S[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CN1C=CN(C)[C-]1[*:4],11.0
F[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,19.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.0
C#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,11.6
Br[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,11.6
C#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,15.6
C#C[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[As+](C)(C)[*:4],11.0
O=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],14.4
O[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],13.3
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,4.6
S[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[p+]([*:4])cc1,14.5
O=C=N[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],13.2
I[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,10.5
S=C=N[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,13.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C1=[N+]([*:4])CCO1,6.1
C#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],6.7
N#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],8.1
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,c1c[n+]([*:4])ccn1,10.8
F[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],15.5
S=C=N[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,11.4
Cl[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],10.6
O=C=N[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],12.5
S[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1cn([*:4])cn1,9.4
S[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],6.2
S=C=N[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],17.1
O[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],18.6
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],6.1
O=C=N[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1cn([*:4])cn1,18.6
F[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,16.2
S=C=N[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,14.9
O=C=N[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],14.6
N#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],4.0
N#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1cn([*:4])cn1,11.9
S[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,9.4
Cl[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],11.9
Cl[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],11.0
O[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],18.2
Cl[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C1=[N+]([*:4])CCO1,14.0
S[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.5
Cl[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1cn([*:4])cn1,12.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[p+]([*:4])cc1,12.0
N#C[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,9.7
N#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],5.0
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],7.6
Cl[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],6.5
O[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,17.3
O=C=N[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,19.0
O=C=N[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,C[N+](C)(C)[*:4],19.4
F[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],15.0
O=C=N[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,16.4
N#C[*:1],[O+]#C[*:2],c1c[n+]([*:3])ccn1,c1c[n+]([*:4])ccn1,12.9
O=C=N[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,c1c[n+]([*:4])ccn1,19.8
O=C=N[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cn([*:4])cn1,23.2
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],11.7
Cl[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,9.4
C#C[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],8.7
O=C=N[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,11.0
O=C=N[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],10.0
O=C=N[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,11.8
C#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,7.5
Br[*:1],[O+]#C[*:2],c1c[n+]([*:3])ccn1,c1c[n+]([*:4])ccn1,15.0
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],3.6
S[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,5.2
F[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,14.7
O[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],13.7
F[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],15.1
O[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],13.8
O=C=N[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,C1=[N+]([*:4])CCO1,20.3
Br[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],10.5
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.1
Cl[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,16.4
O=C=N[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,19.4
C#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,8.2
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[p+]([*:4])cc1,10.0
Cl[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,13.3
F[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,13.3
N#C[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],4.2
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.1
S[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,6.2
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,5.7
Cl[*:1],C[N+]#C[*:2],c1c[n+]([*:3])ccn1,c1c[n+]([*:4])ccn1,15.0
I[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,10.8
F[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],15.2
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],7.4
Br[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C1=[N+]([*:4])CCO1,10.2
Cl[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],10.5
Cl[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],13.3
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,11.4
S[*:1],C[N+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,7.0
C#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],4.3
S[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,13.8
Br[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,C1=[N+]([*:4])CCO1,12.8
O=[N+]([O-])[*:1],[O+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],7.9
O=C=N[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,14.7
O=C=N[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1c[n+]([*:4])ccn1,20.1
C#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cn([*:4])cn1,10.9
S=C=N[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,c1cc[n+]([*:4])cc1,18.4
Br[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],9.1
Cl[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],11.1
S=C=N[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],13.0
Br[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,13.7
I[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cc[n+]([*:4])cc1,8.2
N#C[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[N+](C)(C)[*:4],10.9
F[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],18.6
S[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],14.9
S[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,C1=[N+]([*:4])CCO1,12.8
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,9.0
O=C=N[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C1=[N+]([*:4])CCO1,19.2
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],4.1
F[*:1],C[N+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],11.9
O=C=N[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1c[n+]([*:4])ccn1,17.6
O=[N+]([O-])[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],9.0
C#C[*:1],[O+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,10.3
O=C=N[*:1],[O+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1CCN(C)[C-]1[*:4],17.1
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],5.5
F[*:1],[O+]#C[*:2],c1cc[n+]([*:3])cc1,CN1C=CN(C)[C-]1[*:4],22.1
C#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,C1=[N+]([*:4])CCO1,12.7
Br[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],8.8
F[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,13.9
