label,reaction,number_ts,filename_ts,energy_ts,method,number_r,filename_r,energy_r,activation,reactant
A_A_A_D_C_B,e2,0,transition-states/e2/A_A_A_D_C_B.xyz,-2789.50814796,hf,1,reactant-complex-constrained-conformers/e2/A_A_A_D_C_B/01.xyz,-2789.51507511,4.346852253342656,rcc
A_A_A_D_C_C,e2,0,transition-states/e2/A_A_A_D_C_C.xyz,-3149.59454148,hf,1,reactant-complex-constrained-conformers/e2/A_A_A_D_C_C/01.xyz,-3149.65201554,36.065517162873626,rcc
A_A_A_E_A_A,e2,0,transition-states/e2/A_A_A_E_A_A.xyz,-233.59932022,hf,5,reactant-complex-constrained-conformers/e2/A_A_A_E_A_A/05.xyz,-233.63841038,24.52944574264284,rcc
A_A_A_E_B_A,e2,0,transition-states/e2/A_A_A_E_B_A.xyz,-593.6688861,hf,8,reactant-complex-constrained-conformers/e2/A_A_A_E_B_A/08.xyz,-593.69048152,13.551330646396643,rcc
A_A_A_E_B_B,e2,0,transition-states/e2/A_A_A_E_B_B.xyz,-692.63281803,hf,8,reactant-complex-constrained-conformers/e2/A_A_A_E_B_B/08.xyz,-692.64532971,7.8511977365100565,rcc
A_A_A_E_B_C,e2,0,transition-states/e2/A_A_A_E_B_C.xyz,-1052.71444334,hf,8,reactant-complex-constrained-conformers/e2/A_A_A_E_B_C/08.xyz,-1052.78144795,42.046027580990994,rcc
A_A_A_E_B_D,e2,0,transition-states/e2/A_A_A_E_B_D.xyz,-3165.58439656,hf,8,reactant-complex-constrained-conformers/e2/A_A_A_E_B_D/08.xyz,-3165.65382822,43.569024449762594,rcc
A_A_A_E_C_A,e2,0,transition-states/e2/A_A_A_E_C_A.xyz,-2706.53792644,hf,5,reactant-complex-constrained-conformers/e2/A_A_A_E_C_A/05.xyz,-2706.55515868,10.813393859542163,rcc
A_A_A_E_C_B,e2,0,transition-states/e2/A_A_A_E_C_B.xyz,-2805.50165273,hf,6,reactant-complex-constrained-conformers/e2/A_A_A_E_C_B/06.xyz,-2805.51012317,5.315281349552135,rcc
A_A_A_E_C_C,e2,0,transition-states/e2/A_A_A_E_C_C.xyz,-3165.58678002,hf,5,reactant-complex-constrained-conformers/e2/A_A_A_E_C_C/05.xyz,-3165.64576845,37.01579868525031,rcc
A_A_A_E_C_D,e2,0,transition-states/e2/A_A_A_E_C_D.xyz,-5278.45456721,hf,5,reactant-complex-constrained-conformers/e2/A_A_A_E_C_D/05.xyz,-5278.51800063,39.805072021882054,rcc
A_A_B_A_B_C,e2,0,transition-states/e2/A_A_B_A_B_C.xyz,-1201.23913138,hf,5,reactant-complex-constrained-conformers/e2/A_A_B_A_B_C/05.xyz,-1201.27659928,23.51146222333535,rcc
A_A_B_E_C_D,e2,0,transition-states/e2/A_A_B_E_C_D.xyz,-5481.98601545,hf,24,reactant-complex-constrained-conformers/e2/A_A_B_E_C_D/24.xyz,-5482.05294786,42.00072139683547,rcc
A_A_C_A_A_A,e2,0,transition-states/e2/A_A_C_A_A_A.xyz,-270.36093754,hf,8,reactant-complex-constrained-conformers/e2/A_A_C_A_A_A/08.xyz,-270.36695751,3.7775882085826678,rcc
A_A_C_A_B_A,e2,0,transition-states/e2/A_A_C_A_B_A.xyz,-630.40252985,hf,6,reactant-complex-constrained-conformers/e2/A_A_C_A_B_A/06.xyz,-630.4172514,9.237912097958821,rcc
A_A_C_D_A_A,e2,0,transition-states/e2/A_A_C_D_A_A.xyz,-309.39484631,hf,4,reactant-complex-constrained-conformers/e2/A_A_C_D_A_A/04.xyz,-309.40878095,8.744118617660028,rcc
A_A_C_D_B_A,e2,0,transition-states/e2/A_A_C_D_B_A.xyz,-669.44545346,hf,5,reactant-complex-constrained-conformers/e2/A_A_C_D_B_A/05.xyz,-669.45843239,8.144401538221333,rcc
A_A_C_D_B_C,e2,0,transition-states/e2/A_A_C_D_B_C.xyz,-1128.4871128,hf,5,reactant-complex-constrained-conformers/e2/A_A_C_D_B_C/05.xyz,-1128.54452438,36.02631037093613,rcc
A_A_C_D_C_A,e2,0,transition-states/e2/A_A_C_D_C_A.xyz,-2782.30854924,hf,3,reactant-complex-constrained-conformers/e2/A_A_C_D_C_A/03.xyz,-2782.32095082,7.7821089431835055,rcc
A_A_C_E_B_A,e2,0,transition-states/e2/A_A_C_E_B_A.xyz,-685.45050449,hf,9,reactant-complex-constrained-conformers/e2/A_A_C_E_B_A/09.xyz,-685.45187955,0.8628631773968358,rcc
A_A_C_E_B_B,e2,0,transition-states/e2/A_A_C_E_B_B.xyz,-784.41242167,hf,9,reactant-complex-constrained-conformers/e2/A_A_C_E_B_B/09.xyz,-784.41352587,0.6928959612517663,rcc
A_A_C_E_C_A,e2,0,transition-states/e2/A_A_C_E_C_A.xyz,-2798.31503764,hf,17,reactant-complex-constrained-conformers/e2/A_A_C_E_C_A/17.xyz,-2798.31497881,-0.03691638232371232,rcc
A_A_C_E_C_C,e2,0,transition-states/e2/A_A_C_E_C_C.xyz,-3257.34507958,hf,25,reactant-complex-constrained-conformers/e2/A_A_C_E_C_C/25.xyz,-3257.4000188,34.47488104766904,rcc
A_A_C_E_C_D,e2,0,transition-states/e2/A_A_C_E_C_D.xyz,-5370.21065892,hf,25,reactant-complex-constrained-conformers/e2/A_A_C_E_C_D/25.xyz,-5370.27164411,38.26878450246481,rcc
A_A_D_A_A_A,e2,0,transition-states/e2/A_A_D_A_A_A.xyz,-217.60572365,hf,1,reactant-complex-constrained-conformers/e2/A_A_D_A_A_A/01.xyz,-217.63875088,20.72489972707112,rcc
A_A_D_C_B_C,e2,0,transition-states/e2/A_A_D_C_B_C.xyz,-1128.48702189,hf,8,reactant-complex-constrained-conformers/e2/A_A_D_C_B_C/08.xyz,-1128.54452413,36.08320037975529,rcc
A_A_D_D_A_A,e2,0,transition-states/e2/A_A_D_D_A_A.xyz,-256.65063286,hf,2,reactant-complex-constrained-conformers/e2/A_A_D_D_A_A/02.xyz,-256.68771506,23.26943181912969,rcc
A_A_D_D_B_A,e2,0,transition-states/e2/A_A_D_D_B_A.xyz,-616.72038975,hf,2,reactant-complex-constrained-conformers/e2/A_A_D_D_B_A/02.xyz,-616.73959076,12.048815686626979,rcc
A_A_D_D_B_B,e2,0,transition-states/e2/A_A_D_D_B_B.xyz,-715.68304546,hf,2,reactant-complex-constrained-conformers/e2/A_A_D_D_B_B/02.xyz,-715.69439132,7.119634641397212,rcc
A_A_D_D_B_C,e2,0,transition-states/e2/A_A_D_D_B_C.xyz,-1075.76691091,hf,2,reactant-complex-constrained-conformers/e2/A_A_D_D_B_C/02.xyz,-1075.83050291,39.90458247460274,rcc
A_A_D_D_B_D,e2,0,transition-states/e2/A_A_D_D_B_D.xyz,-3188.63579708,hf,2,reactant-complex-constrained-conformers/e2/A_A_D_D_B_D/02.xyz,-3188.70294484,42.13585556205124,rcc
A_A_D_E_A_A,e2,0,transition-states/e2/A_A_D_E_A_A.xyz,-272.6436427,hf,8,reactant-complex-constrained-conformers/e2/A_A_D_E_A_A/08.xyz,-272.68291249,24.642165269463142,rcc
A_A_E_A_A_A,e2,0,transition-states/e2/A_A_E_A_A_A.xyz,-233.59931572,hf,5,reactant-complex-constrained-conformers/e2/A_A_E_A_A_A/05.xyz,-233.63841038,24.53226953528683,rcc
A_A_E_A_A_B,e2,0,transition-states/e2/A_A_E_A_A_B.xyz,-332.54693139,hf,5,reactant-complex-constrained-conformers/e2/A_A_E_A_A_B/05.xyz,-332.59183223,28.17570249340725,rcc
A_A_E_A_B_A,e2,0,transition-states/e2/A_A_E_A_B_A.xyz,-593.66804438,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_A_B_A/08.xyz,-593.69048152,14.079517920929796,rcc
A_A_E_A_B_B,e2,0,transition-states/e2/A_A_E_A_B_B.xyz,-692.63275176,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_A_B_B/08.xyz,-692.6453297,7.892776514215,rcc
A_A_E_A_B_C,e2,0,transition-states/e2/A_A_E_A_B_C.xyz,-1052.71447218,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_A_B_C/08.xyz,-1052.78144795,42.027930207670586,rcc
A_A_E_A_B_D,e2,0,transition-states/e2/A_A_E_A_B_D.xyz,-3165.58449193,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_A_B_D/08.xyz,-3165.65382822,43.509178871472876,rcc
A_A_E_A_C_A,e2,0,transition-states/e2/A_A_E_A_C_A.xyz,-2706.53785413,hf,5,reactant-complex-constrained-conformers/e2/A_A_E_A_C_A/05.xyz,-2706.55515868,10.858769069437894,rcc
A_A_E_A_C_B,e2,0,transition-states/e2/A_A_E_A_C_B.xyz,-2805.50165132,hf,5,reactant-complex-constrained-conformers/e2/A_A_E_A_C_B/05.xyz,-2805.51017131,5.346374443902758,rcc
A_A_E_A_C_C,e2,0,transition-states/e2/A_A_E_A_C_C.xyz,-3165.58590235,hf,6,reactant-complex-constrained-conformers/e2/A_A_E_A_C_C/06.xyz,-3165.64569146,37.51823297058492,rcc
A_A_E_A_C_D,e2,0,transition-states/e2/A_A_E_A_C_D.xyz,-5278.45551252,hf,6,reactant-complex-constrained-conformers/e2/A_A_E_A_C_D/06.xyz,-5278.5181635,39.31408350901727,rcc
A_A_E_B_B_B,e2,0,transition-states/e2/A_A_E_B_B_B.xyz,-896.19222537,hf,25,reactant-complex-constrained-conformers/e2/A_A_E_B_B_B/25.xyz,-896.19727538,3.168929119107644,rcc
A_A_E_B_B_D,e2,0,transition-states/e2/A_A_E_B_B_D.xyz,-3369.1159112,hf,24,reactant-complex-constrained-conformers/e2/A_A_E_B_B_D/24.xyz,-3369.19075111,46.96275256291027,rcc
A_A_E_B_C_D,e2,0,transition-states/e2/A_A_E_B_C_D.xyz,-5481.99196163,hf,25,reactant-complex-constrained-conformers/e2/A_A_E_B_C_D/25.xyz,-5482.05349627,38.613569583056396,rcc
A_A_E_C_A_A,e2,0,transition-states/e2/A_A_E_C_A_A.xyz,-325.39575809,hf,4,reactant-complex-constrained-conformers/e2/A_A_E_C_A_A/04.xyz,-325.40185623,3.8266406241668984,rcc
A_A_E_C_B_A,e2,0,transition-states/e2/A_A_E_C_B_A.xyz,-685.45038305,hf,9,reactant-complex-constrained-conformers/e2/A_A_E_C_B_A/09.xyz,-685.45189567,0.9491833806393298,rcc
A_A_E_C_B_B,e2,0,transition-states/e2/A_A_E_C_B_B.xyz,-784.41259617,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_C_B_B/08.xyz,-784.41346,0.5420615089532512,rcc
A_A_E_C_C_A,e2,0,transition-states/e2/A_A_E_C_C_A.xyz,-2798.31499961,hf,17,reactant-complex-constrained-conformers/e2/A_A_E_C_C_A/17.xyz,-2798.3149509,-0.030565986544980852,rcc
A_A_E_C_C_B,e2,0,transition-states/e2/A_A_E_C_C_B.xyz,-2897.27735396,hf,14,reactant-complex-constrained-conformers/e2/A_A_E_C_C_B/14.xyz,-2897.27620636,-0.7201298724144175,rcc
A_A_E_D_A_A,e2,0,transition-states/e2/A_A_E_D_A_A.xyz,-272.64350903,hf,6,reactant-complex-constrained-conformers/e2/A_A_E_D_A_A/06.xyz,-272.67578342,20.252485494605974,rcc
A_A_E_D_C_A,e2,0,transition-states/e2/A_A_E_D_C_A.xyz,-2745.58447179,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_D_C_A/08.xyz,-2745.59814305,8.578845172466123,rcc
A_A_E_D_C_B,e2,0,transition-states/e2/A_A_E_D_C_B.xyz,-2844.54680083,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_D_C_B/08.xyz,-2844.5542653,4.6840256440394965,rcc
A_A_E_D_C_D,e2,0,transition-states/e2/A_A_E_D_C_D.xyz,-5317.50066156,hf,8,reactant-complex-constrained-conformers/e2/A_A_E_D_C_D/08.xyz,-5317.56048269,37.538325824331714,rcc
A_A_E_E_A_D,e2,0,transition-states/e2/A_A_E_E_A_D.xyz,-2860.53502015,hf,20,reactant-complex-constrained-conformers/e2/A_A_E_E_A_D/20.xyz,-2860.64522792,69.15641979021699,rcc
A_A_E_E_B_A,e2,0,transition-states/e2/A_A_E_E_B_A.xyz,-648.71368813,hf,14,reactant-complex-constrained-conformers/e2/A_A_E_E_B_A/14.xyz,-648.7334588,12.406282733548212,rcc
A_A_E_E_B_B,e2,0,transition-states/e2/A_A_E_E_B_B.xyz,-747.67623455,hf,14,reactant-complex-constrained-conformers/e2/A_A_E_E_B_B/14.xyz,-747.68896912,7.991063323132621,rcc
A_A_E_E_B_C,e2,0,transition-states/e2/A_A_E_E_B_C.xyz,-1107.75651434,hf,13,reactant-complex-constrained-conformers/e2/A_A_E_E_B_C/13.xyz,-1107.82345514,42.00598620143299,rcc
A_A_E_E_B_D,e2,0,transition-states/e2/A_A_E_E_B_D.xyz,-3220.62889155,hf,13,reactant-complex-constrained-conformers/e2/A_A_E_E_B_D/13.xyz,-3220.69591275,42.05643796307735,rcc
A_A_E_E_C_A,e2,0,transition-states/e2/A_A_E_E_C_A.xyz,-2761.58392256,hf,24,reactant-complex-constrained-conformers/e2/A_A_E_E_C_A/24.xyz,-2761.59747732,8.505740318815333,rcc
A_A_E_E_C_B,e2,0,transition-states/e2/A_A_E_E_C_B.xyz,-2860.54559483,hf,25,reactant-complex-constrained-conformers/e2/A_A_E_E_C_B/25.xyz,-2860.55433228,5.482832654089049,rcc
A_A_E_E_C_C,e2,0,transition-states/e2/A_A_E_E_C_C.xyz,-3220.62885253,hf,23,reactant-complex-constrained-conformers/e2/A_A_E_E_C_C/23.xyz,-3220.68678165,36.35107162394917,rcc
A_A_E_E_C_D,e2,0,transition-states/e2/A_A_E_E_C_D.xyz,-5333.49744014,hf,14,reactant-complex-constrained-conformers/e2/A_A_E_E_C_D/14.xyz,-5333.55889002,38.56038187978957,rcc
A_B_A_A_C_A,e2,0,transition-states/e2/A_B_A_A_C_A.xyz,-2855.02643983,hf,2,reactant-complex-constrained-conformers/e2/A_B_A_A_C_A/02.xyz,-2855.03321121,4.249105102430115,rcc
A_B_A_A_C_B,e2,0,transition-states/e2/A_B_A_A_C_B.xyz,-2953.9878819,hf,1,reactant-complex-constrained-conformers/e2/A_B_A_A_C_B/01.xyz,-2953.99018831,1.4472941261201915,rcc
A_B_A_A_C_C,e2,0,transition-states/e2/A_B_A_A_C_C.xyz,-3314.0633713,hf,1,reactant-complex-constrained-conformers/e2/A_B_A_A_C_C/01.xyz,-3314.12223365,36.93668229049219,rcc
A_B_A_C_B_A,e2,0,transition-states/e2/A_B_A_C_B_A.xyz,-833.92709893,hf,10,reactant-complex-constrained-conformers/e2/A_B_A_C_B_A/10.xyz,-833.92648821,-0.3832325860338547,rcc
A_B_A_D_A_A,e2,0,transition-states/e2/A_B_A_D_A_A.xyz,-421.14961177,hf,3,reactant-complex-constrained-conformers/e2/A_B_A_D_A_A/03.xyz,-421.17508557,15.985050840415553,rcc
A_B_A_D_B_A,e2,0,transition-states/e2/A_B_A_D_B_A.xyz,-781.20259348,hf,7,reactant-complex-constrained-conformers/e2/A_B_A_D_B_A/07.xyz,-781.21308038,6.580629103510014,rcc
A_B_A_D_B_B,e2,0,transition-states/e2/A_B_A_D_B_B.xyz,-880.16404866,hf,5,reactant-complex-constrained-conformers/e2/A_B_A_D_B_B/05.xyz,-880.17093875,4.3235967521199505,rcc
A_B_A_D_C_B,e2,0,transition-states/e2/A_B_A_D_C_B.xyz,-2993.02958186,hf,5,reactant-complex-constrained-conformers/e2/A_B_A_D_C_B/05.xyz,-2993.03253965,1.856041247563283,rcc
A_B_A_D_C_C,e2,0,transition-states/e2/A_B_A_D_C_C.xyz,-3353.10629473,hf,5,reactant-complex-constrained-conformers/e2/A_B_A_D_C_C/05.xyz,-3353.16450358,36.52660484933556,rcc
A_B_A_E_A_A,e2,0,transition-states/e2/A_B_A_E_A_A.xyz,-437.14137624,hf,22,reactant-complex-constrained-conformers/e2/A_B_A_E_A_A/22.xyz,-437.1692542,17.49368401755972,rcc
A_B_A_E_B_A,e2,0,transition-states/e2/A_B_A_E_B_A.xyz,-797.19286126,hf,10,reactant-complex-constrained-conformers/e2/A_B_A_E_B_A/10.xyz,-797.20684099,8.772413019890381,rcc
A_B_A_E_B_B,e2,0,transition-states/e2/A_B_A_E_B_B.xyz,-896.15550333,hf,10,reactant-complex-constrained-conformers/e2/A_B_A_E_B_B/10.xyz,-896.16561974,6.3481431185212935,rcc
A_B_A_E_B_C,e2,0,transition-states/e2/A_B_A_E_B_C.xyz,-1256.22463176,hf,22,reactant-complex-constrained-conformers/e2/A_B_A_E_B_C/22.xyz,-1256.29575614,44.63122228694467,rcc
A_B_A_E_B_D,e2,0,transition-states/e2/A_B_A_E_B_D.xyz,-3369.09378867,hf,16,reactant-complex-constrained-conformers/e2/A_B_A_E_B_D/16.xyz,-3369.16777749,46.428685524791916,rcc
A_B_A_E_C_A,e2,0,transition-states/e2/A_B_A_E_C_A.xyz,-2910.06309495,hf,21,reactant-complex-constrained-conformers/e2/A_B_A_E_C_A/21.xyz,-2910.07327494,6.388040170785776,rcc
A_B_A_E_C_B,e2,0,transition-states/e2/A_B_A_E_C_B.xyz,-3009.02304183,hf,21,reactant-complex-constrained-conformers/e2/A_B_A_E_C_B/21.xyz,-3009.03102909,5.012081322050568,rcc
A_B_A_E_C_C,e2,0,transition-states/e2/A_B_A_E_C_C.xyz,-3369.09535566,hf,21,reactant-complex-constrained-conformers/e2/A_B_A_E_C_C/21.xyz,-3369.16165238,41.60181989907478,rcc
A_B_A_E_C_D,e2,0,transition-states/e2/A_B_A_E_C_D.xyz,-5481.96247168,hf,18,reactant-complex-constrained-conformers/e2/A_B_A_E_C_D/18.xyz,-5482.03362776,44.65111433721511,rcc
A_B_B_A_B_A,e2,0,transition-states/e2/A_B_B_A_B_A.xyz,-945.69160874,hf,13,reactant-complex-constrained-conformers/e2/A_B_B_A_B_A/13.xyz,-945.69837111,4.243451242149427,rcc
A_B_B_E_B_A,e2,0,transition-states/e2/A_B_B_E_B_A.xyz,-1000.73206707,hf,10,reactant-complex-constrained-conformers/e2/A_B_B_E_B_A/10.xyz,-1000.73950615,4.668093178338503,rcc
A_B_B_E_C_A,e2,0,transition-states/e2/A_B_B_E_C_A.xyz,-3113.59358591,hf,10,reactant-complex-constrained-conformers/e2/A_B_B_E_C_A/10.xyz,-3113.60110173,4.716248255483385,rcc
A_B_C_A_A_A,e2,0,transition-states/e2/A_B_C_A_A_A.xyz,-473.88315832,hf,9,reactant-complex-constrained-conformers/e2/A_B_C_A_A_A/09.xyz,-473.88561635,1.5424371125400302,rcc
A_B_C_A_B_A,e2,0,transition-states/e2/A_B_C_A_B_A.xyz,-833.91903569,hf,6,reactant-complex-constrained-conformers/e2/A_B_C_A_B_A/06.xyz,-833.9265352,4.706013575832449,rcc
A_B_C_A_C_A,e2,0,transition-states/e2/A_B_C_A_C_A.xyz,-2946.78627171,hf,17,reactant-complex-constrained-conformers/e2/A_B_C_A_C_A/17.xyz,-2946.78786829,1.0018690760000137,rcc
A_B_C_A_C_B,e2,0,transition-states/e2/A_B_C_A_C_B.xyz,-3045.75637328,hf,1,reactant-complex-constrained-conformers/e2/A_B_C_A_C_B/01.xyz,-3045.75149901,-3.0586506041873616,rcc
A_B_C_D_B_A,e2,0,transition-states/e2/A_B_C_D_B_A.xyz,-872.96614162,hf,5,reactant-complex-constrained-conformers/e2/A_B_C_D_B_A/05.xyz,-872.96376138,-1.4936231505310857,rcc
A_B_C_E_A_A,e2,0,transition-states/e2/A_B_C_E_A_A.xyz,-528.91886738,hf,17,reactant-complex-constrained-conformers/e2/A_B_C_E_A_A/17.xyz,-528.91715032,-1.0774714175552988,rcc
A_B_C_E_B_A,e2,0,transition-states/e2/A_B_C_E_B_A.xyz,-888.95546432,hf,10,reactant-complex-constrained-conformers/e2/A_B_C_E_B_A/10.xyz,-888.95866595,2.0090531573952903,rcc
A_B_C_E_B_B,e2,0,transition-states/e2/A_B_C_E_B_B.xyz,-987.92274493,hf,10,reactant-complex-constrained-conformers/e2/A_B_C_E_B_B/10.xyz,-987.92240873,-0.2109686851752823,rcc
A_B_C_E_C_A,e2,0,transition-states/e2/A_B_C_E_C_A.xyz,-3001.81835062,hf,10,reactant-complex-constrained-conformers/e2/A_B_C_E_C_A/10.xyz,-3001.82041679,1.296541250046678,rcc
A_B_C_E_C_C,e2,0,transition-states/e2/A_B_C_E_C_C.xyz,-3460.8496523,hf,10,reactant-complex-constrained-conformers/e2/A_B_C_E_C_C/10.xyz,-3460.90290487,33.41649219323388,rcc
A_B_D_A_B_A,e2,0,transition-states/e2/A_B_D_A_B_A.xyz,-781.19862722,hf,5,reactant-complex-constrained-conformers/e2/A_B_D_A_B_A/05.xyz,-781.21344042,9.29542334115074,rcc
A_B_D_A_B_B,e2,0,transition-states/e2/A_B_D_A_B_B.xyz,-880.16064416,hf,7,reactant-complex-constrained-conformers/e2/A_B_D_A_B_B/07.xyz,-880.17087579,6.4204447601215024,rcc
A_B_D_D_A_A,e2,0,transition-states/e2/A_B_D_D_A_A.xyz,-460.19121077,hf,2,reactant-complex-constrained-conformers/e2/A_B_D_D_A_A/02.xyz,-460.21476829,14.782566985429147,rcc
A_B_D_D_C_B,e2,0,transition-states/e2/A_B_D_D_C_B.xyz,-3032.06812064,hf,8,reactant-complex-constrained-conformers/e2/A_B_D_D_C_B/08.xyz,-3032.07120349,1.9345175820074245,rcc
A_B_D_D_C_C,e2,0,transition-states/e2/A_B_D_D_C_C.xyz,-3392.14389402,hf,3,reactant-complex-constrained-conformers/e2/A_B_D_D_C_C/03.xyz,-3392.2018851,36.389952110986655,rcc
A_B_D_E_B_A,e2,0,transition-states/e2/A_B_D_E_B_A.xyz,-836.2385685,hf,13,reactant-complex-constrained-conformers/e2/A_B_D_E_B_A/13.xyz,-836.2501672,7.2782941367668865,rcc
A_B_D_E_B_B,e2,0,transition-states/e2/A_B_D_E_B_B.xyz,-935.1987231,hf,13,reactant-complex-constrained-conformers/e2/A_B_D_E_B_B/13.xyz,-935.20892822,6.403809483894086,rcc
A_B_D_E_B_C,e2,0,transition-states/e2/A_B_D_E_B_C.xyz,-1295.26456408,hf,13,reactant-complex-constrained-conformers/e2/A_B_D_E_B_C/13.xyz,-1295.33873808,46.54488772920944,rcc
A_B_D_E_B_D,e2,0,transition-states/e2/A_B_D_E_B_D.xyz,-3408.13252524,hf,13,reactant-complex-constrained-conformers/e2/A_B_D_E_B_D/13.xyz,-3408.21053579,48.95235920175843,rcc
A_B_D_E_C_A,e2,0,transition-states/e2/A_B_D_E_C_A.xyz,-2949.10074425,hf,7,reactant-complex-constrained-conformers/e2/A_B_D_E_C_A/07.xyz,-2949.10898117,5.168745337065193,rcc
A_B_D_E_C_B,e2,0,transition-states/e2/A_B_D_E_C_B.xyz,-3048.06140915,hf,0,reactant-complex-constrained-conformers/e2/A_B_D_E_C_B/00.xyz,-3048.06824966,4.292484832470172,rcc
A_B_D_E_C_C,e2,0,transition-states/e2/A_B_D_E_C_C.xyz,-3408.13626441,hf,7,reactant-complex-constrained-conformers/e2/A_B_D_E_C_C/07.xyz,-3408.19686155,38.02527945114507,rcc
A_B_E_A_A_A,e2,0,transition-states/e2/A_B_E_A_A_A.xyz,-437.14098429,hf,17,reactant-complex-constrained-conformers/e2/A_B_E_A_A_A/17.xyz,-437.16430764,14.635623091888537,rcc
A_B_E_A_B_A,e2,0,transition-states/e2/A_B_E_A_B_A.xyz,-797.18704484,hf,10,reactant-complex-constrained-conformers/e2/A_B_E_A_B_A/10.xyz,-797.20713701,12.60802702948519,rcc
A_B_E_A_B_B,e2,0,transition-states/e2/A_B_E_A_B_B.xyz,-896.15043666,hf,10,reactant-complex-constrained-conformers/e2/A_B_E_A_B_B/10.xyz,-896.16565146,9.547431146025886,rcc
A_B_E_A_B_C,e2,0,transition-states/e2/A_B_E_A_B_C.xyz,-1256.22252971,hf,13,reactant-complex-constrained-conformers/e2/A_B_E_A_B_C/13.xyz,-1256.29511157,45.545804795201605,rcc
A_B_E_A_B_D,e2,0,transition-states/e2/A_B_E_A_B_D.xyz,-3369.08770277,hf,16,reactant-complex-constrained-conformers/e2/A_B_E_A_B_D/16.xyz,-3369.1678226,50.27595238536128,rcc
A_B_E_A_C_A,e2,0,transition-states/e2/A_B_E_A_C_A.xyz,-2910.05905482,hf,6,reactant-complex-constrained-conformers/e2/A_B_E_A_C_A/06.xyz,-2910.07335538,8.973736884574253,rcc
A_B_E_A_C_B,e2,0,transition-states/e2/A_B_E_A_C_B.xyz,-3009.0158716,hf,1,reactant-complex-constrained-conformers/e2/A_B_E_A_C_B/01.xyz,-3009.03101204,9.500769541401247,rcc
A_B_E_A_C_C,e2,0,transition-states/e2/A_B_E_A_C_C.xyz,-3369.09213587,hf,6,reactant-complex-constrained-conformers/e2/A_B_E_A_C_C/06.xyz,-3369.16171285,43.660214126677026,rcc
