R1,R2,R3,R4,X,Y,barrier
A,B,A,A,C,A,7.715126558132916
A,B,A,A,C,B,10.578559359132663
A,B,A,A,C,C,31.90962844977157
A,B,A,D,A,A,10.41917136242823
A,B,A,D,B,A,6.9525706355298285
A,B,A,D,B,B,11.732713806828775
A,B,A,D,C,B,13.862886410678804
A,B,A,D,C,C,30.738958567110164
A,B,A,E,A,A,12.438420569911626
A,B,A,E,B,A,10.784811065350363
A,B,A,E,B,B,18.236448332582487
A,B,A,E,B,D,37.137102089297
A,B,A,E,C,A,12.21241276987634
A,B,A,E,C,B,22.076104369685563
A,B,A,E,C,D,31.79988837643014
A,B,B,E,C,A,4.74205189481381
A,B,C,A,B,A,0.1976835987849499
A,B,C,A,C,A,-1.0862278397110012
A,B,C,D,B,A,-1.1354643282045602
A,B,C,E,B,A,0.7738272883828952
A,B,C,E,B,B,7.918923894889247
A,B,D,A,B,A,8.649924066827822
A,B,D,A,B,B,13.969633494189608
A,B,D,D,A,A,9.425987334884024
A,B,D,D,C,B,9.530741323876422
A,B,D,D,C,C,25.78755888654428
A,B,D,E,C,A,7.6474444936651516
A,B,D,E,C,B,14.714811284552018
A,B,D,E,C,C,28.90339705566264
A,B,E,A,B,A,15.212886481141407
A,B,E,A,B,B,16.078662535062097
A,B,E,A,B,C,41.52148901750485
A,B,E,A,B,D,36.64138817591174
A,B,E,A,C,A,12.4872177517664
A,B,E,A,C,B,14.663719718160493
A,B,E,A,C,C,35.13126510961539
A,B,E,D,A,A,11.012899423900619
A,B,E,D,B,A,10.476521375127161
A,B,E,D,B,B,15.57699931237936
A,B,E,D,B,C,34.19591609630878
A,B,E,D,B,D,32.257438430944426
A,B,E,D,C,A,9.527956924401275
A,B,E,D,C,B,13.894840703257492
A,B,E,D,C,C,27.761020677885238
A,B,E,D,C,D,24.315896349707604
A,B,E,E,B,A,7.723014113312176
A,B,E,E,B,B,17.35259522246665
A,B,E,E,B,C,37.903379395559064
A,B,E,E,B,D,28.27346794029664
A,B,E,E,C,A,5.493353559381345
A,B,E,E,C,B,12.820228836270056
A,B,E,E,C,C,31.24739615887492
A,C,A,A,A,A,9.324617545273977
A,C,A,A,A,B,2.534612812020054
A,C,A,A,B,A,10.576173841976429
A,C,A,A,B,B,8.517334851750254
A,C,A,A,B,C,38.76087377879035
A,C,A,A,C,A,3.6721930131774903
A,C,A,A,C,B,3.122351214113001
A,C,A,A,C,C,28.09608902883412
A,C,A,A,C,D,26.68925045687073
A,C,A,C,B,B,4.8989337305044485
A,C,A,C,C,A,2.363665060109562
A,C,A,C,C,D,24.785823033223235
A,C,A,E,B,A,13.536824775576491
A,C,A,E,B,B,18.951446248532203
A,C,A,E,B,C,42.229897277591746
A,C,A,E,B,D,36.950881873154756
A,C,A,E,C,A,12.791278356319332
A,C,A,E,C,B,20.311475720835137
A,C,A,E,C,C,36.635960634339945
A,C,A,E,C,D,31.25244922798266
A,C,B,D,A,A,-9.394542769988828
A,C,B,E,C,C,31.359006696186018
A,C,B,E,C,D,25.864995920940213
A,C,C,A,C,A,-1.0446196340051266
A,C,D,A,A,A,10.160045086106702
A,C,D,A,B,A,11.045451526321877
A,C,D,A,B,B,14.175784537199338
A,C,D,A,B,C,37.65414436908688
A,C,D,A,B,D,37.61267140416325
A,C,D,A,C,A,7.766975374535428
A,C,D,A,C,B,10.039630839105632
A,C,D,B,A,A,-10.470955272511047
A,C,D,C,C,B,11.577104016001122
A,C,D,D,A,A,10.407360688780004
A,C,D,D,B,A,9.825086702118547
A,C,D,D,B,B,14.435935316735973
A,C,D,D,B,C,34.08082200115993
A,C,D,E,B,D,35.95819935226997
A,C,D,E,C,A,10.746502572240946
A,C,D,E,C,C,32.639170028057954
A,C,D,E,C,D,26.073783039672776
A,C,E,A,B,B,15.984410184576724
A,C,E,A,C,B,12.188160011724873
A,C,E,A,C,C,35.528066888399245
A,C,E,C,B,B,13.286000683779681
A,C,E,D,B,A,15.38534906804732
A,C,E,E,C,A,16.30772458667476
A,C,E,E,C,B,16.760150192541488
A,C,E,E,C,D,24.29082173447835
A,D,A,A,B,A,14.91377116012551
A,D,A,A,B,C,44.283328505694726
A,D,A,A,C,A,12.779208895853618
A,D,A,A,C,B,14.847906796008004
A,D,A,C,A,A,0.137236332208587
A,D,A,C,B,A,4.102862222590362
A,D,A,C,B,B,3.6076598194755536
A,D,A,D,A,A,15.66919633485993
A,D,A,D,B,A,14.292023435212519
A,D,A,D,B,B,17.20545943810256
A,D,A,D,B,C,42.01241444539239
A,D,A,D,C,A,13.911480030869589
A,D,A,D,C,B,18.88957338976035
A,D,A,D,C,C,37.476793711429686
A,D,A,E,A,A,13.203013526601007
A,D,A,E,C,A,15.136770281999722
A,D,A,E,C,B,22.159424302215076
A,D,A,E,C,C,38.689025636564004
A,D,B,D,C,D,21.2075016446528
A,D,B,E,A,A,-4.630347979074459
A,D,B,E,B,B,11.769744489039006
A,D,C,A,B,B,2.155037542711934
A,D,C,D,A,A,0.4427032029051587
A,D,C,D,C,B,4.7718236832139125
A,D,D,A,A,A,15.021073867640414
A,D,D,A,B,A,13.533254135393396
A,D,D,A,C,A,9.245395344572962
A,D,D,A,C,B,12.710172319905652
A,D,D,A,C,C,34.95963123601604
A,D,D,C,A,A,-3.4011431687534204
A,D,D,D,C,B,13.606227044513009
A,D,D,D,C,C,32.28152644566502
A,D,D,E,A,A,15.383338789978346
A,D,D,E,C,A,11.664584533427961
A,D,D,E,C,B,16.596525626644482
A,D,D,E,C,C,32.33490883954331
A,D,E,A,A,A,16.7238750530952
A,D,E,A,B,A,17.35897745189365
A,D,E,A,B,B,16.943803679551394
A,D,E,A,B,C,44.96986106915746
A,D,E,A,B,D,33.850625569442805
A,D,E,B,B,C,37.984630478441225
A,D,E,B,C,C,36.61037685867646
A,D,E,B,C,D,19.798680313975133
A,D,E,C,A,A,1.5879692724433545
A,D,E,C,B,A,5.934895807753137
A,D,E,C,B,B,5.377177139033281
A,D,E,D,B,A,14.445229054716494
A,D,E,D,B,B,19.088417442771664
A,D,E,D,B,C,40.992599216035046
A,D,E,D,B,D,30.82124351490059
A,D,E,E,B,B,18.50616891035809
A,D,E,E,B,C,39.894700836597494
A,D,E,E,B,D,24.90994873269491
A,E,A,A,A,A,20.71978089805513
A,E,A,A,B,A,15.910106782314145
A,E,A,A,B,B,21.361930918275828
A,E,A,C,B,B,12.637605895315193
A,E,A,C,C,A,8.150473964079236
A,E,A,C,C,B,16.803490740922467
A,E,A,D,A,A,24.930458202154583
A,E,A,D,B,A,16.846465519988243
A,E,A,D,B,B,26.11214462370544
A,E,A,D,C,B,11.378954327377652
A,E,A,E,A,A,24.81516199197259
A,E,A,E,B,A,20.40539075149953
A,E,A,E,B,B,31.43352009154665
A,E,A,E,C,A,25.165550300565986
A,E,B,A,B,A,2.4401567872694248
A,E,B,C,B,B,-3.615954829866988
A,E,B,D,B,B,1.7056465826243512
A,E,C,A,A,A,2.7192674570687485
A,E,C,A,B,B,6.0392771463100265
A,E,C,A,C,A,0.5647630644966021
A,E,C,A,C,B,4.272089799783677
A,E,C,D,C,A,2.881515410061805
A,E,C,D,C,B,8.69083050679588
A,E,C,E,B,B,12.934144154818766
A,E,D,A,C,A,10.657875588793507
A,E,D,A,C,B,19.38579389774773
A,E,D,B,A,A,2.024399610968017
A,E,D,B,C,B,10.878078238687458
A,E,D,C,A,A,6.0707417239133346
A,E,D,C,B,A,3.7625480493191503
A,E,D,C,B,B,11.424887158692579
A,E,D,C,C,A,5.433489112224609
A,E,D,C,C,B,12.585035328817876
A,E,D,D,A,A,22.26907572409252
A,E,D,D,B,A,12.037884565957249
A,E,D,D,B,B,22.56484952088169
A,E,D,D,C,A,12.504939534020494
A,E,D,D,C,B,21.674515506890483
A,E,D,E,B,A,17.625609177100912
A,E,D,E,B,B,30.703682623928962
A,E,D,E,C,A,18.016140279706445
A,E,D,E,C,B,31.120287580400515
A,E,E,A,B,A,16.527878512244712
A,E,E,A,B,B,21.901257082315933
A,E,E,A,C,A,13.732667687078711
A,E,E,A,C,B,18.277615006234626
A,E,E,C,B,A,4.107505559834143
A,E,E,C,C,A,5.947889141851982
A,E,E,C,C,B,13.154228663770995
A,E,E,D,B,A,16.985896845049698
A,E,E,D,B,B,24.88051432697436
A,E,E,D,C,A,7.75748212656462
A,E,E,D,C,B,18.87747888513244
A,E,E,E,A,A,28.12116065910884
A,E,E,E,B,A,17.717793653286083
A,E,E,E,B,B,32.065707801752964
A,E,E,E,C,A,19.704025253228718
A,E,E,E,C,B,31.92563629114409
B,A,A,A,A,A,8.539304390442783
B,A,A,A,A,B,5.477126121772647
B,A,A,A,A,C,62.1833954165985
B,A,A,A,B,A,-0.5061179936652627
B,A,A,A,B,B,-1.0917277586947858
B,A,A,A,B,D,30.487829118677762
B,A,A,B,B,A,0.8704635622772718
B,A,A,C,A,A,1.30199642358002
B,A,A,C,B,A,0.4355772141395291
B,A,A,C,C,A,0.9216819595030854
B,A,A,D,B,A,7.738426372987957
B,A,A,D,B,B,9.636054912602523
B,A,A,E,A,D,56.66904647547038
B,A,A,E,B,A,13.275232649633255
B,A,A,E,B,B,17.096890823478027
B,A,A,E,B,C,40.5877985147679
B,A,A,E,B,D,33.769692644819706
B,A,A,E,C,B,16.0808097280918
B,A,A,E,C,C,32.67230237220544
B,A,B,E,C,C,22.259265249462317
B,A,C,B,A,B,-17.239383726060765
B,A,C,E,C,C,24.84252708389565
B,A,D,A,C,B,8.231590922938178
B,A,D,A,C,C,28.10021134999411
B,A,D,C,B,A,0.7537732444414704
B,A,D,D,A,A,9.272401096140092
B,A,D,D,B,A,5.457271611438474
B,A,D,D,C,B,10.224126581653783
B,A,D,D,C,C,26.4969042183698
B,A,D,E,A,A,10.741175416255903
B,A,D,E,C,B,17.185266140391285
B,A,D,E,C,C,27.857013358596763
B,A,E,A,A,A,9.016276829134362
B,A,E,A,B,A,9.163448027725122
B,A,E,A,B,B,11.009460345624532
B,A,E,A,B,C,38.071077272354216
B,A,E,A,B,D,35.065498815448564
B,A,E,A,C,A,7.123913828984194
B,A,E,C,B,A,0.7878726430450853
B,A,E,D,A,A,11.736898595877824
B,A,E,D,B,A,9.152648850937828
B,A,E,E,B,A,5.859432835740991
B,A,E,E,B,C,35.402653863577534
B,A,E,E,B,D,27.34235358638637
B,B,A,A,B,A,-1.3782204086155192
B,B,A,E,A,A,8.393486921553176
B,B,A,E,C,A,6.288263464618279
B,B,A,E,C,B,11.731360939693909
B,B,D,E,C,B,9.866273953741123
B,B,E,A,C,C,30.07760873655561
B,B,E,D,A,A,4.473724286447569
B,B,E,D,B,A,2.7975779257857996
B,B,E,D,C,A,1.358042238316263
B,B,E,D,C,B,5.6429939957073065
B,B,E,E,C,A,3.387206743097261
B,C,A,A,A,A,3.3431652160164207
B,C,A,A,B,B,2.4871762413066243
B,C,A,D,B,B,6.986300773424972
B,C,A,D,B,C,28.902402822669373
B,C,A,D,C,B,9.09087117439766
B,C,A,E,A,A,4.739072084171978
B,C,D,A,C,B,6.31821989161624
B,C,D,E,C,B,14.782810607018654
B,C,E,A,B,A,9.011474261011944
B,C,E,A,B,B,10.787447797956558
B,C,E,A,B,C,34.50125134547059
B,C,E,A,B,D,29.63133728727481
B,C,E,A,C,A,7.285806645079987
B,C,E,A,C,B,9.75688584672042
B,C,E,A,C,C,28.21400071117523
B,C,E,A,C,D,20.841881053657968
B,C,E,D,B,A,5.437184367789298
B,C,E,D,B,C,31.55334379769283
B,C,E,E,B,A,8.997443016649534
B,C,E,E,B,B,13.95084592792665
B,C,E,E,C,C,25.422964685174705
B,D,A,A,B,A,7.671441157259996
B,D,A,A,B,B,8.124644484030103
B,D,A,A,C,A,5.982390831328025
B,D,A,A,C,B,8.146316858009866
B,D,A,A,C,C,30.841194356814977
B,D,A,A,C,D,24.476148105314913
B,D,A,D,A,A,10.986167187239422
B,D,A,D,B,A,9.501683453755085
B,D,A,D,B,B,11.326373305594744
B,D,A,D,B,C,36.87536055351346
B,D,A,E,C,A,10.402150284089757
B,D,A,E,C,D,18.073671126720605
B,D,B,E,C,B,4.798837168712051
B,D,D,A,B,A,5.807576092345121
B,D,D,A,B,B,11.102018096878442
B,D,D,A,C,A,3.4096277015653045
B,D,D,A,C,B,7.425182720495576
B,D,D,D,B,A,7.327311930840219
B,D,D,D,B,B,10.56300987513386
B,D,D,E,B,C,34.83801366281451
B,D,E,A,C,B,9.134067911951528
B,D,E,A,C,C,31.55008191860137
B,D,E,D,B,A,7.577472517088497
B,D,E,E,B,A,12.70887139894529
B,D,E,E,B,B,17.530134030978743
B,E,A,A,A,A,17.133179490966878
B,E,A,A,B,A,12.473614893249641
B,E,A,A,B,B,18.996338334138727
B,E,A,A,B,C,35.88098811763831
B,E,A,A,C,A,-0.8177805835721674
B,E,A,B,A,A,1.1596568889560253
B,E,A,C,B,A,5.068558412320309
B,E,A,C,C,A,8.921188950434773
B,E,A,D,A,A,16.93907526878428
B,E,A,D,B,A,14.263197188636804
B,E,A,D,B,B,21.519408371439226
B,E,A,D,C,B,27.45885772465249
B,E,A,E,A,A,17.84330559845932
B,E,A,E,B,B,21.23661025664651
