R1,R2,R3,R4,low_barrier,barrier
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-5.100971887033613,3.6
C#C[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-7.149769181925954,3.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.262240157983144,3.7
O=[N+]([O-])[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-8.020743346009798,3.9
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-6.857352783950846,3.9
S[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-2.865806200969757,3.9
C#C[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-3.638262393945641,4.0
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-4.728862608045694,4.0
N#C[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-3.340825971983208,4.0
N#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-3.5428819377584206,4.0
C#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-4.89828841790329,4.1
S[*:1],[NH+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-2.054444822092099,4.1
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-4.42326864688984,4.1
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-4.32851569398639,4.2
N#C[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-3.384123679087908,4.2
N#C[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-7.171731786799165,4.2
C#C[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-4.448368766969145,4.3
S[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-2.06762238498749,4.3
C#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-4.713175032871285,4.3
N#C[*:1],C[N+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-4.327260688060897,4.3
C#C[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-6.205377166956134,4.3
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-6.203494658032225,4.4
S[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-3.049664580004931,4.5
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-3.3489835110339508,4.5
Cl[*:1],C[N+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-2.902201375020546,4.5
N#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-5.851465474993608,4.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],-7.191184379964069,4.5
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-3.817728251777889,4.5
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-2.7308930559536857,4.6
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-4.224350196035366,4.6
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.946845931038151,4.6
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-5.461786112050049,4.6
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.667127531872764,4.6
N#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-6.33652529398171,4.6
Cl[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,-3.069117173027157,4.6
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.561079524926493,4.6
N#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-6.554896337858409,4.6
N#C[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-3.7932556350536926,4.6
N#C[*:1],[NH+]#C[*:2],CC[P+](CC)(CC)[*:3],c1c[n+]([*:4])ccn1,-5.738514935136103,4.7
C#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-6.366645437762987,4.7
C#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-5.1737622349925125,4.8
N#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-5.119169473773652,4.8
N#C[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-3.9444838578858947,4.8
N#C[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],-3.9149912170316954,4.8
S[*:1],[O+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-2.262775817994147,4.8
N#C[*:1],C[N+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-4.472213880908942,4.9
S[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-2.484284377076941,4.9
C#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.483121214138861,4.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-3.8836160671109097,4.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],-6.450730839978724,4.9
N#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.8108257190093324,5.0
O[*:1],[O+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,-4.866913267982505,5.0
N#C[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.322628384957813,5.0
S[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-1.9992245576608063,5.0
Cl[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.143790029909965,5.1
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1C=CN(C)[C-]1[*:3],C[P+](C)(C)[*:4],-6.237379820089351,5.1
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-4.2833354778864425,5.1
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.9109864169983655,5.1
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[N+](C)(C)[*:4],-4.952881178979473,5.2
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.25533762507191,5.2
O=[N+]([O-])[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.714042317983874,5.2
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.143642091068559,5.2
O=[N+]([O-])[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-5.987633625863833,5.2
S[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.0138969088812195,5.2
Br[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.240813213120936,5.2
Br[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.1247251582000137,5.2
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-3.65708748404079,5.2
N#C[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-3.1695176530590254,5.2
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],CN1C=CN(C)[C-]1[*:4],-2.712067966001215,5.2
O=[N+]([O-])[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-5.801265234834997,5.2
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],-5.365150650151353,5.2
Br[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.5041246905553753,5.3
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-2.8300385298460453,5.3
N#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.7305053349267667,5.3
N#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,-4.957901203038137,5.3
O=[N+]([O-])[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-3.6206923099900012,5.3
N#C[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.201520306049565,5.3
C#C[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.480371420102363,5.3
C#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-5.87782060078439,5.4
C#C[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-5.2471800857358115,5.4
N#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-6.231732292746916,5.4
N#C[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-5.464296124043712,5.4
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[As+](C)(C)[*:4],-5.576619160688785,5.4
C#C[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-4.838675633125137,5.4
C#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.930530853079343,5.4
C#C[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-3.073509693944728,5.4
O=[N+]([O-])[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.69787517900915,5.4
C#C[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-3.3596510616503235,5.4
C#C[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.105364407951184,5.4
O=[N+]([O-])[*:1],C[N+]#C[*:2],CC[P+](CC)(CC)[*:3],CC[P+](CC)(CC)[*:4],-2.531974604956535,5.5
Br[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.0665153176893873,5.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-3.0829222389923023,5.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-4.741412668014008,5.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.344443050989618,5.5
S[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.0943652318051915,5.5
N#C[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-5.933668367857405,5.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1cn([*:4])cn1,-6.0146162550097255,5.5
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-3.944483858028572,5.5
Br[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-0.9443920151124986,5.5
F[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1cc[p+]([*:4])cc1,-3.6734025619995982,5.5
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[N+](C)(C)[*:4],-5.427273446994508,5.5
N#C[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-3.8666734859396694,5.6
N#C[*:1],C[N+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-3.54099942897719,5.6
N#C[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-5.661959569044032,5.6
N#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.736004922999763,5.6
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,-4.002214134025495,5.6
S[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.7792107867603564,5.6
S[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.3983164657946174,5.7
N#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.901425933109385,5.7
N#C[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-4.464683845070631,5.7
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1cn([*:4])cn1,-4.020411720979551,5.7
N#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-5.738514934993426,5.7
N#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-5.730357396085361,5.7
Cl[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.5536974277869104,5.7
O=[N+]([O-])[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-2.8777287580109943,5.8
Cl[*:1],[NH+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.6248450487220594,5.8
N#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C[P+](C)(C)[*:4],-3.3458459961132108,5.8
C#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-2.359411280035521,5.8
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[N+](C)(C)[*:4],-4.89075838199364,5.8
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-4.642267193836293,5.8
I[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-1.327168845002146,5.8
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],-4.353615813994357,5.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[As+](C)(C)[*:4],-4.465938850782107,5.9
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,CC[P+](CC)(CC)[*:4],-4.742667674010839,5.9
N#C[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,-3.549156968027933,5.9
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[P+](C)(C)[*:4],-4.707527505956882,5.9
S[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-1.9891845099715102,5.9
C#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],C[N+](C)(C)[*:4],-3.5334693929962016,5.9
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],-5.549009029043849,6.0
S[*:1],C[N+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-0.6576231440517932,6.0
O=[N+]([O-])[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[As+](C)(C)[*:4],-4.648542223963128,6.0
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-6.004576207035074,6.0
O=[N+]([O-])[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-4.334790724041886,6.0
Cl[*:1],[NH+]#C[*:2],C[As+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-2.851373631934857,6.0
C#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[As+](C)(C)[*:4],-4.521786617855122,6.0
S[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[As+](C)(C)[*:4],-2.8476086140870405,6.0
C#C[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],C[P+](C)(C)[*:4],-4.418876126043608,6.0
O=[N+]([O-])[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],C1=[N+]([*:4])CCO1,-4.848715681028449,6.1
S[*:1],[O+]#C[*:2],C[N+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-1.350386456014866,6.1
N#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],-4.41699361704836,6.1
C#C[*:1],[NH+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1c[n+]([*:4])ccn1,-4.319103149010155,6.1
N#C[*:1],C[N+]#C[*:2],C[N+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.2305333831034493,6.1
S[*:1],C[N+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-1.5631099728344848,6.1
C#C[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.792867914026774,6.1
S[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.7331632857618358,6.2
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-5.431038464770985,6.2
C#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-4.446486258045237,6.2
O=[N+]([O-])[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-1.9358467550348364,6.2
S[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,CC[P+](CC)(CC)[*:4],-0.7517485939568269,6.2
O=[N+]([O-])[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-3.9457388640254036,6.2
O=[N+]([O-])[*:1],[NH+]#C[*:2],c1cc[n+]([*:3])cc1,C[As+](C)(C)[*:4],-4.429543676731319,6.2
O=[N+]([O-])[*:1],[O+]#C[*:2],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:3])cc1,CC[P+](CC)(CC)[*:4],-2.7867408228840227,6.2
S[*:1],[O+]#C[*:2],C[As+](C)(C)[*:3],C[P+](C)(C)[*:4],-2.4598117597820344,6.2
F[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-2.176807906854501,6.2
N#C[*:1],[NH+]#C[*:2],c1cc[p+]([*:3])cc1,C[P+](C)(C)[*:4],-5.471826160024701,6.2
O=[N+]([O-])[*:1],C[N+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],-1.104405280065198,6.2
S[*:1],C[N+]#C[*:2],c1cc[p+]([*:3])cc1,C[As+](C)(C)[*:4],-4.059316906952663,6.2
S[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],C[P+](C)(C)[*:4],-2.2307731651462848,6.2
N#C[*:1],[NH+]#C[*:2],c1cn([*:3])cn1,C[P+](C)(C)[*:4],-4.251960328036996,6.3
N#C[*:1],[O+]#C[*:2],CN1C=CN(C)[C-]1[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-4.636619666921891,6.3
S[*:1],[NH+]#C[*:2],C[N+](C)(C)[*:3],c1c[n+]([*:4])ccn1,-2.600999935067618,6.3
S[*:1],[O+]#C[*:2],C[P+](C)(C)[*:3],CC[P+](CC)(CC)[*:4],-1.2499859759829974,6.3
C#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],CC[P+](CC)(CC)[*:4],-3.1764201859702594,6.3
Cl[*:1],C[N+]#C[*:2],C[P+](C)(C)[*:3],c1ccc([P+](c2ccccc2)(c2ccccc2)[*:4])cc1,-1.254378496757891,6.3
N#C[*:1],[NH+]#C[*:2],CN1CCN(C)[C-]1[*:3],CN1C=CN(C)[C-]1[*:4],-5.432293470981834,6.3
N#C[*:1],[NH+]#C[*:2],C1=[N+]([*:3])CCO1,C[P+](C)(C)[*:4],-4.3278881909879745,6.3
C#C[*:1],C[N+]#C[*:2],c1cn([*:3])cn1,CC[P+](CC)(CC)[*:4],-2.9787567411126172,6.3
