R1,R2,R3,R4,X,Y,low_barrier,barrier
A,A,B,B,C,B,-1.3373481910569551,-2.075087423925337
C,C,D,D,A,A,5.560581078000261,-1.9920720978549693
A,B,E,C,B,A,0.6601211413893424,-1.8991412441005728
C,C,A,D,A,A,3.541519144436894,-1.8441379315704176
B,D,B,A,B,A,3.6369507852654372,-1.8414463545983455
C,B,C,D,A,A,-0.10739197140395175,-1.8057293442165616
C,C,D,A,A,A,3.9602311161003443,-1.685145281988837
C,D,B,D,C,A,-1.0631453764548418,-1.516302287400919
A,D,C,B,C,B,-3.558945082586792,-1.5150160623888425
C,A,A,C,B,A,4.444524102844556,-1.3352432601102773
B,A,E,A,B,A,1.509361088140804,-1.188313569136172
C,A,E,A,B,A,0.0041729379598811536,-1.1250317982185851
B,E,A,A,C,A,3.753880900608263,-1.076473803827158
C,A,B,D,B,B,-1.206964272618477,-1.0750294970388738
C,D,C,A,C,A,-0.11970998223528051,-0.9945371362301532
C,A,A,A,C,B,-1.5627621443700264,-0.9888556673227284
D,C,C,C,C,B,-2.54956471800217,-0.874390031922478
A,C,D,D,A,A,9.375775929340636,-0.8185723049607597
A,D,C,C,C,A,-6.051042482881055,-0.7703418427952626
E,A,C,C,B,A,-2.5286812027609296,-0.7444817933086494
A,C,E,B,B,A,-0.9100895404254277,-0.6141809745516422
A,B,E,D,A,A,8.598442293228143,-0.6038285315729558
A,B,D,C,B,B,-1.8419160090117637,-0.5862488398540956
B,A,C,D,B,B,-1.7087898741364629,-0.5816555451909569
A,C,C,C,B,B,-2.4839962531208455,-0.4923809074190903
B,D,C,C,C,B,-2.276246691532959,-0.4795378713267809
C,C,D,C,A,A,2.78547062969794,-0.458915532311908
B,A,E,E,C,A,0.6478282309568879,-0.3859385843708863
A,B,A,D,B,B,0.04251376692095211,-0.3247545457382149
D,C,B,C,C,B,1.1764610371420212,-0.2740291618238125
D,A,B,C,C,B,-3.6480577028498384,-0.2629331820932779
B,A,A,D,B,A,8.347658131906371,-0.0297856294803805
B,C,A,A,B,B,2.1199466317312936,-0.0287439844716494
C,B,A,A,B,B,2.215215120038494,0.0126171240130327
A,A,E,A,C,A,1.7879627444353456,0.0529806435957435
C,C,A,C,A,A,7.0968811478666325,0.0651362414116886
C,C,C,A,A,A,6.476173876527151,0.0666570464388724
B,A,C,C,B,B,-0.7005641269013014,0.101054254949275
A,A,C,C,C,B,-1.8615821561203767,0.1335863314455247
A,B,E,D,B,A,8.31237954932509,0.1810516583413311
C,C,B,C,B,B,3.0837384328870763,0.3156559796650157
C,D,A,C,C,A,1.027038481067409,0.3229650562448465
B,A,E,D,B,A,3.694273775679817,0.3738764624338618
C,A,E,C,B,A,3.28092700999536,0.3849953630681364
B,C,D,A,B,B,2.246973374531247,0.3917791627009915
C,A,D,C,B,A,2.997355478718736,0.3951575626456562
C,A,B,A,B,A,-1.0970120625268616,0.4137240111735304
C,A,B,C,B,B,1.6272952186538636,0.4731088226758548
A,C,C,B,B,B,1.475111620985952,0.4938478827830632
D,A,C,C,C,B,-3.029879294592418,0.5117652924843271
A,D,C,C,C,B,-3.10887018735616,0.5356599519321708
B,C,E,A,A,A,3.0833619272606607,0.5439637198860893
C,A,E,E,C,A,1.0953428874998563,0.5705144352651305
C,A,D,A,B,B,-0.5818393345370992,0.6192373304253479
B,A,D,C,A,A,-3.997065922199055,0.643573288663259
B,C,D,D,B,B,2.423397663150263,0.6635248004634196
E,A,A,A,B,A,0.45506987061158805,0.6764807991229377
C,D,A,D,B,A,6.713761513556372,0.8672358334728855
A,B,E,B,B,B,-2.183544716941801,0.9844404058300292
D,B,D,C,A,A,9.574853309966075,1.0575339989580863
B,A,D,D,B,B,1.27542555625853,1.0658696766726206
B,D,D,E,C,A,3.925573767820484,1.0731737963652657
A,B,D,D,A,A,7.145111526029789,1.192687186477227
B,A,D,D,A,A,3.61707756022281,1.198663221489317
D,A,B,D,C,B,-2.483506795699496,1.2086526184421649
A,D,C,B,B,B,-0.6670739463843576,1.3405920530662585
D,A,B,C,B,B,-0.5556972898694023,1.3423628132121894
B,C,E,E,A,A,6.586816346981421,1.389471164972363
C,C,A,A,B,B,2.9435277159940103,1.40823040247553
A,A,C,B,C,B,1.4870343008917095,1.4360580996842136
A,A,B,C,C,B,1.5317255258455307,1.494637817554859
B,A,D,E,B,A,2.167016117338261,1.5455352804966975
C,A,C,C,B,B,1.7327858364125628,1.5808747052423502
B,A,B,C,A,B,9.503405081214193,1.6359924598510094
A,E,C,C,B,A,0.006883778969450595,1.68189454006296
B,A,E,A,C,B,1.8019248303941826,1.7051362247375617
D,C,B,C,B,B,3.4341459982607585,1.7395711503704223
C,A,A,D,B,B,1.453820224619703,1.8404215161930215
C,A,B,B,B,B,4.3047965682731215,1.84106858312264
C,C,D,D,B,B,3.552318582491784,1.866659881048205
A,C,D,A,B,B,1.472369404620469,1.869787432738404
A,C,A,A,B,B,0.6945086605953235,1.895241239555861
D,C,E,C,B,A,5.402618118092961,1.9239328251150007
A,C,D,D,B,B,0.8186049342522557,1.9698876951089528
C,A,D,D,B,B,0.75504449956872,1.9756800500314489
A,B,B,A,A,A,-18.266028953319637,2.210968487306377
A,C,B,B,A,A,5.3245684897162855,2.2512371796960746
B,A,B,C,C,B,2.2608978097490935,2.2526954539156487
A,B,C,B,C,B,7.2210025218511,2.282868300658542
A,B,A,B,A,A,-18.26584070047076,2.3368732859221995
B,A,A,C,B,A,3.9862162834177566,2.34873798965938
B,A,C,C,A,A,-15.791363766132312,2.362387051149463
A,B,C,C,A,A,-15.857867220158305,2.368156638120252
C,A,D,B,C,B,3.1627795263058878,2.405818989768063
A,C,A,B,C,B,1.8596431518054732,2.412504742581873
B,A,C,D,A,A,-12.809369719325538,2.5009203894646097
A,B,A,B,B,A,3.0465522214894847,2.564755459796741
D,A,C,B,C,B,1.151530085721252,2.6111902812859804
C,C,C,E,A,A,4.935092184456235,2.6595318220120414
C,A,E,A,C,B,0.9577175094793093,2.6799685222738177
A,D,B,C,C,B,1.3269629092267925,2.7073197712593675
A,D,C,C,B,B,-3.8753290842528116,2.870668937623908
A,B,C,D,C,B,2.9154529421824678,2.9056875418415027
C,A,A,B,A,B,9.604076426241377,2.9364604226211117
C,C,D,E,A,A,7.187173486056363,2.9449857073165284
A,B,E,E,A,A,13.956306435655454,2.959946444958547
C,B,A,E,A,A,7.162920244941491,3.0439264746016814
C,D,C,C,B,B,1.6378687533329037,3.056880767032758
C,A,B,E,A,A,11.098766342868544,3.1071599818048026
B,A,D,C,C,B,3.237013897049942,3.2444110928345697
A,A,D,B,B,B,1.565686338556008,3.2483614256608373
A,A,C,C,B,B,0.883458038336381,3.256042582245659
D,C,E,D,B,A,4.278171341283794,3.2716334642514213
C,E,E,C,C,A,7.345782780663959,3.2833765139078364
D,B,A,A,B,A,9.622236550416291,3.2899195238799197
D,B,C,C,B,B,0.5300447025517154,3.328996261288529
D,C,B,A,C,A,1.6778536569221059,3.351960088619656
B,C,D,E,A,A,5.703866591294206,3.4262147115968995
D,C,A,C,B,A,7.291854616557755,3.471664191119102
C,D,C,A,B,A,7.301217057918528,3.48535280205277
D,C,C,A,B,A,7.325213020194628,3.487762901483663
C,A,D,C,C,B,2.2910621901974446,3.51086489943228
A,A,E,A,B,A,4.9881920361843255,3.528527345798792
C,A,A,B,B,A,4.97666468706146,3.5303681524114645
A,C,C,D,C,B,2.1783175627999185,3.5718039280980305
A,C,A,C,C,B,0.6689439246023569,3.5775466953863626
B,D,C,C,B,B,0.9724514319187936,3.6063260790509046
A,B,E,A,B,A,6.450565214800484,3.6514074162268977
B,C,C,D,B,B,5.672484842427869,3.735806594081013
C,A,C,B,B,B,6.307969961869195,3.7711589191607
A,A,A,E,C,A,3.381566979452611,3.786206453050902
C,C,E,D,A,A,7.059117627687302,3.802198895495971
C,C,A,E,A,A,8.943955284745027,3.833690595222655
C,D,C,D,B,A,9.10322973949475,3.850876566792044
A,B,D,E,B,A,9.818690941428219,3.863751725807597
D,C,D,C,B,A,8.506217225823228,3.8875880873454136
A,C,B,C,B,B,6.321135110805831,3.89421434017748
C,A,C,A,C,B,1.6434598625450667,4.000540198099718
A,A,C,D,C,A,3.522072625747091,4.023962569063284
B,A,C,A,A,A,12.270219854323162,4.02408590158573
C,C,D,B,B,B,6.904718921637898,4.025625748356318
A,B,D,C,A,A,12.581759482894462,4.098344683124727
A,A,D,C,C,A,3.4055692166857505,4.118675028646757
C,B,A,C,B,B,5.93326522978962,4.126252435313469
D,A,C,C,B,B,0.023343352476086415,4.177778891804814
B,A,C,E,A,A,10.858674942942116,4.222288283044064
C,D,B,E,B,A,4.066782224784066,4.2375970976731
D,C,A,B,B,A,5.9506660673979646,4.277123520979399
B,C,A,E,A,A,6.652729942133248,4.286467946531092
A,C,B,D,A,A,10.222154432831962,4.370103864418732
C,A,B,E,C,B,3.567818066597555,4.527235954674104
B,A,A,D,B,B,5.308397570511345,4.530710453938954
A,A,C,B,B,B,3.968865646464481,4.5805528676666585
B,A,A,E,A,A,15.56630749325351,4.59864255760861
A,A,B,C,B,B,3.8663305983903564,4.599113495955899
A,C,D,C,C,B,4.017943162625936,4.602426813811662
C,E,D,A,C,A,8.265159461538895,4.641847673534021
C,E,C,D,C,A,8.49647200373632,4.773661218718551
C,A,A,C,C,B,4.200542144160224,4.795489806667003
A,C,C,A,C,B,4.363318101877671,4.829046698597236
C,D,A,C,B,A,8.976717554443683,4.855754322430614
B,D,E,D,C,A,9.019363098173367,4.856116889946302
E,C,D,C,C,A,8.49269439670201,4.8688622222202085
A,B,A,D,A,A,15.250356473075703,4.905193124456751
A,B,B,D,B,B,8.03421087455443,4.933037230943119
B,A,E,D,C,B,4.123866761694499,4.937237466560561
A,A,E,C,C,A,6.915988992029001,4.966648442960421
A,B,D,A,B,B,5.094868646719738,4.988881634551461
A,A,B,C,B,A,0.5013298689969177,4.995762580912035
A,C,B,A,A,A,8.656135514311899,5.00345111436486
A,A,E,D,C,A,6.316428789583892,5.0775946652021
C,A,C,D,C,B,4.002267975942063,5.092927617716563
A,A,C,E,C,A,3.71901019922333,5.128748989895929
C,A,B,A,C,B,3.586273119959863,5.140570128342576
A,C,D,B,C,B,4.375943592523869,5.171715161608176
B,D,C,D,B,A,9.514606125365713,5.173124845021366
C,C,A,C,B,B,6.943442531325103,5.189309908722404
C,A,B,A,B,B,4.1706475929284315,5.201224985899087
C,C,C,A,B,B,7.1124433828269105,5.21482483050674
C,E,C,A,C,A,7.856374689640171,5.227596380428491
E,C,E,C,C,A,6.388466877281279,5.244388366928924
C,E,A,C,C,A,8.026410931668126,5.257183674852903
C,A,D,B,B,B,5.288681222819002,5.26540255913678
C,A,D,D,A,A,16.89675308014887,5.27492148127118
C,E,E,A,B,A,9.984240490867064,5.276042173659916
C,C,B,A,B,B,7.892588261366122,5.403388558458267
D,B,A,B,A,A,10.693903505297657,5.411974494591721
A,B,C,A,C,B,6.7419178636642565,5.472704447244844
B,A,B,A,A,A,9.985583361136742,5.5001065617702345
B,A,A,C,C,B,6.286810342311678,5.510076450561584
A,A,B,E,B,A,4.022411029915891,5.51452331954915
A,B,C,D,B,B,5.414446671716958,5.5960514256556895
A,B,C,D,A,A,12.97461806419191,5.649253865679706
B,A,C,A,B,B,4.868827183934188,5.688351115282891
C,A,D,B,A,A,9.074508630840235,5.824702175007897
A,B,C,A,A,A,2.0854461608017183,5.827205767795904
D,A,D,A,C,A,5.354400289950893,5.8560450879690045
D,B,D,A,C,A,8.512310342870196,5.858567750108828
A,D,B,C,B,A,6.286007130403777,5.868371025625064
A,A,D,D,B,B,1.3077485692979156,5.910447841331886
C,A,E,A,B,B,3.443991622014502,5.932463837397395
A,B,A,C,B,B,5.091894251807348,5.97214170133686
B,A,E,A,B,B,4.754545158532407,5.975853949484746
C,E,A,B,C,A,9.467109933334582,6.073105743479044
A,C,C,B,A,B,9.516557679880053,6.093897746106268
A,A,E,B,C,A,5.820275873859768,6.116389873647229
B,D,A,A,C,B,4.502543628970998,6.121694387417622
A,D,B,C,B,B,4.064410238945279,6.13191308087018
B,C,A,C,B,B,8.843917724468389,6.1786413009563885
E,C,A,B,B,A,-1.0812301992904532,6.179071131839601
A,A,D,D,B,A,5.805949832545292,6.190690859068119
D,A,D,A,C,B,0.1913590138927967,6.211885628558079
A,D,A,D,C,B,0.2345693167398296,6.23141754984194
B,E,B,E,B,A,1.084079092279812,6.236963813146988
C,E,E,D,B,A,10.847404872836371,6.244515222605121
A,C,E,B,A,A,11.995113425753944,6.247317753222174
A,D,A,D,C,A,5.406609078232343,6.381789048866654
B,E,C,C,A,A,-0.9134027904372621,6.399712019629903
A,B,E,A,B,B,6.102065278243113,6.412489643045754
C,A,C,A,B,B,4.543087016007115,6.424196154787095
B,A,E,E,B,A,9.029760930202965,6.435659753231413
C,D,D,C,B,A,11.507400512302683,6.436015742525559
A,C,A,C,B,B,4.811573219545373,6.436970483813048
A,A,E,A,B,B,1.2192007073674833,6.441647528417818
A,A,A,C,B,A,5.5414357639186,6.45059971910984
A,A,C,A,B,A,5.542226425841083,6.45090576621217
C,A,D,C,A,A,14.995669202832259,6.481405188945428
B,A,E,C,C,B,8.196786029223563,6.508253713632893
B,D,D,A,C,B,4.882099009352022,6.539867606517787
C,C,A,E,B,B,7.329699712926418,6.54400428464423
A,B,B,A,B,B,6.0136052676374,6.548337173548333
C,A,E,C,A,A,16.007917285634058,6.550563196277303
E,C,D,E,B,A,11.33607160058878,6.565508970337978
A,C,A,A,A,A,17.703905966439212,6.576775131748805
C,E,A,D,B,A,11.53314095101643,6.584920972162663
B,D,D,C,B,A,12.45623876274285,6.615269953373399
E,C,D,A,B,A,11.311812084409858,6.623157727966043
A,C,C,D,B,B,5.220420742298604,6.676521502636538
A,B,D,B,B,B,7.980797268125771,6.684604816202131
C,A,D,C,B,B,5.220665470973609,6.702038150624394
E,A,B,B,C,A,0.8548561565051779,6.713040254689071
A,C,C,D,A,A,15.032980916152884,6.742784102867488
C,A,A,B,C,B,6.7075428946577125,6.777508254017963
C,E,B,A,C,A,10.54040841300134,6.804283299307348
B,A,E,E,C,B,5.695263436428662,6.855787052052597
C,C,E,C,C,B,10.303542411619345,6.888595781109702
A,C,C,E,A,A,16.650091656096237,6.9150346941882646
A,C,B,E,A,A,14.578099298461511,6.9271813988850335
A,D,B,D,C,A,4.991844141224264,6.955010740542093
B,E,E,A,B,A,10.058976869231904,6.963665963090534
A,B,C,C,A,B,12.898488614830983,6.9891218563049895
E,A,A,D,B,B,-4.383109750695297,7.000181767249448
A,C,D,C,A,A,16.130934242924134,7.0287326199948525
B,C,D,E,B,B,9.509222094087564,7.041929485611564
C,A,C,D,A,A,16.442837827029418,7.060657761242952
B,E,C,E,C,A,10.678724050992173,7.087653849044058
A,C,A,B,B,B,5.125760938093387,7.10973381444389
B,A,B,E,B,B,6.749184423288502,7.122939463352513
C,D,E,C,B,A,14.272420608283264,7.149118133254914
C,A,E,C,C,B,6.73558629325602,7.16387754446588
B,A,E,A,A,A,16.245806127235753,7.192373639527305
A,C,E,A,B,B,4.8846780732675015,7.273421710920951
A,C,C,E,C,B,7.10604278632177,7.302564557412757
A,B,A,B,B,B,5.905661088028932,7.309825407874074
A,A,C,D,B,A,7.164777672960053,7.382054476873447
C,A,E,B,C,B,8.758576435783235,7.466104969963097
C,A,E,D,C,B,5.279532134491962,7.565668413143986
A,C,C,A,B,B,6.87302969317071,7.566580552225107
B,A,E,D,A,A,16.798353319543324,7.584021249318798
B,A,D,E,A,A,15.35385788572175,7.604416282386251
C,E,D,C,C,A,10.839742981929858,7.613120826935974
E,C,C,D,C,A,10.817353444111614,7.627940460441807
C,A,C,C,A,B,10.5762266535877,7.639703544103674
A,B,C,E,A,A,15.880658364215856,7.650862400745731
B,A,E,C,A,A,16.709309725198832,7.671851011940045
B,E,C,A,C,A,10.92113096093126,7.674422276585942
A,A,C,D,C,B,2.653731290861687,7.681604958285371
C,B,A,B,A,B,14.951329383391338,7.724917113703369
B,A,C,D,A,B,12.385072913406965,7.753118697805616
C,A,A,C,B,B,6.82899735333064,7.762504752920011
C,C,E,A,B,B,7.785183739834072,7.783949094185552
A,C,E,E,A,A,17.302870936700383,7.7961919370469
A,C,A,E,C,B,5.6517080038818435,7.803512974811027
D,A,A,A,C,A,6.305152444307089,7.825959229583136
A,A,D,C,C,B,2.5880498739714093,7.840254040147002
D,A,E,E,C,A,5.216724711417956,7.888835445116962
C,A,D,E,C,B,5.185801044545715,7.940662646040567
B,E,D,A,C,A,11.81254581943289,7.959904785429525
C,A,A,E,C,B,5.868550177685284,7.9928820313867694
B,C,A,A,A,B,14.766891798709606,7.997276062295446
A,A,B,A,C,B,2.9701905937243285,8.00016853355914
D,B,A,B,C,B,7.44277692018099,8.002280917279121
C,B,A,A,A,B,14.937555550495398,8.014160956027105
B,C,D,A,A,B,14.920983025265167,8.033774276043124
B,C,C,E,B,B,9.045567893909588,8.077351708499862
A,B,D,D,A,B,13.384162122443184,8.084838141879692
C,C,A,D,C,C,19.620514428224794,8.115879163410968
C,A,C,D,B,B,6.9429091482057235,8.12882974811069
A,C,D,C,B,B,6.744823232551083,8.12946831186321
C,A,C,E,A,A,16.28616753662972,8.142071466269096
A,D,D,D,C,B,1.8940181208120173,8.186164697034132
B,A,E,D,B,B,6.383038920305101,8.19334661825377
A,A,A,E,B,A,6.7011548482806695,8.215396266406158
C,C,D,A,C,C,19.64195642705563,8.254887477785928
C,E,E,E,B,A,11.813098027708746,8.257908550534193
E,C,E,E,B,A,12.026168869720275,8.288882102455256
C,A,B,D,A,A,13.42119145656183,8.294779654276313
C,C,E,A,A,B,15.666345053601487,8.29949925535879
C,E,B,D,B,A,12.83757627015983,8.309067217382152
D,B,C,A,B,A,14.241804421083215,8.351069069542525
A,C,E,D,C,B,6.761627936114201,8.358725379840013
C,E,C,D,B,A,12.886371406905289,8.360462937124325
E,C,D,C,B,A,12.806991458458374,8.361105823769291
C,A,B,C,A,B,14.456983694816689,8.36155864211606
B,D,A,C,B,A,13.641579058924012,8.364668253403103
D,A,E,B,C,A,7.648769455203133,8.367003147874449
B,D,A,D,A,A,17.18104624739375,8.385010558718307
A,D,C,D,C,A,7.584612886474371,8.395615092294362
C,D,A,B,B,A,10.11369569533193,8.422123609463005
C,A,E,D,A,A,18.86318579414201,8.427545187148027
B,A,A,C,B,B,8.976560677022059,8.443707897843954
E,C,D,B,B,A,12.703483770641268,8.460492230108144
B,A,C,E,B,B,7.22798042717365,8.535724698619306
A,C,D,E,A,A,19.24884684176944,8.547202972005076
A,C,E,B,B,B,7.539670658031185,8.564817010444186
C,A,D,E,A,A,17.396545550963182,8.606434925357023
A,E,B,B,C,B,5.3148797434555055,8.634608309748545
A,D,D,D,C,A,7.339200206552339,8.653625416461077
A,B,C,A,B,B,9.388225717266055,8.717133726033364
A,D,C,A,C,A,8.149233361080945,8.730086838722007
C,E,D,D,B,A,13.58533538480515,8.73924028368511
A,E,B,B,C,A,4.195854648594138,8.74754340294834
E,C,B,E,B,A,13.5031755693231,8.75412749038621
D,A,A,D,C,A,8.062178971813436,8.763502780502511
C,E,D,A,B,A,13.52245893542022,8.79500551571126
D,C,D,A,B,B,6.8637425529352205,8.858234586520682
A,C,B,C,A,A,15.174333700267312,8.867338480161461
C,D,A,D,B,B,6.936533651956778,8.878898888824756
E,C,C,A,B,A,12.910693674081395,8.91425451714045
C,A,E,B,A,A,16.14555521371136,8.932692784944523
A,A,C,E,C,B,4.5890897355180025,8.961009671694478
C,E,A,C,B,A,12.615538317927118,8.992058991372938
A,A,E,C,C,B,5.506006579015414,8.99809189054809
A,D,E,E,C,A,8.091558965439024,9.029147902876758
A,D,B,D,C,B,4.210030087515368,9.03478897389912
B,D,D,E,A,A,19.21039933632717,9.062238045840148
A,E,A,D,C,B,-0.7844997943909305,9.08867932082912
A,E,E,A,C,A,7.0133533616446915,9.092696363142508
A,D,D,A,C,A,8.675927162951176,9.11731771168287
C,E,C,A,B,A,12.19842022023673,9.122670276718496
B,A,B,D,A,B,17.61015605101546,9.189653107813578
B,A,D,E,B,B,7.8014989861185216,9.242907511364724
B,E,A,D,C,A,12.403314613806879,9.270325410625553
B,D,A,A,B,B,7.301932418715727,9.274196978505165
A,E,A,D,C,A,5.674599549392212,9.296574130847032
A,C,E,C,A,A,16.844594492665166,9.32797446830784
A,D,E,C,C,A,10.600385768313803,9.355018047001874
A,D,D,A,C,B,3.06643799658887,9.36217250391472
D,C,E,A,A,A,20.859651111525082,9.372039594208106
D,B,A,A,B,B,7.4054150060626185,9.375990076455098
B,E,B,A,B,A,12.522466112737925,9.412483579508438
D,A,E,A,C,A,8.065912653363736,9.419724880645326
A,C,E,D,A,A,19.198024849491365,9.425907784209798
B,A,C,D,B,D,12.584012241767255,9.442882597221898
C,E,C,E,B,A,13.775928837317018,9.445621630629889
A,A,E,D,C,B,4.488223862684902,9.486466356142843
A,E,E,D,C,A,6.255855300297542,9.542619737982337
D,A,C,A,C,A,8.18111711756807,9.555400744035133
D,B,E,A,B,B,7.173167474577845,9.566816591625136
A,D,A,D,B,A,8.188515454215064,9.593216282280691
C,E,D,B,B,A,12.793594131188849,9.600096053250546
A,D,A,D,B,B,3.3040821096225685,9.604155274583988
B,D,D,A,B,B,7.402553562873822,9.620270125811109
D,A,D,A,B,B,3.2856019556473672,9.62242852433702
A,B,A,E,A,A,17.74013208840027,9.624257784783332
C,A,C,E,B,B,7.695725989157845,9.632776005613104
E,C,E,A,B,A,13.348356431913581,9.659971826369006
A,A,E,E,C,A,9.875129143495679,9.679746155937092
A,C,B,E,C,B,11.761253194996954,9.691736797196704
C,C,A,D,A,B,16.090164952405157,9.692353870403815
C,A,A,B,B,B,9.20694450538855,9.696178853117654
E,C,B,A,B,A,14.122320342081103,9.741864120683534
A,C,B,A,B,B,9.576396983284067,9.746773730995043
A,A,B,E,C,B,6.868693602903504,9.792225999680328
A,A,B,B,A,B,14.805797386217309,9.80512702735056
C,C,D,A,A,B,16.092712640857712,9.815970340238367
D,A,A,E,C,A,8.110434450268457,9.827263576013909
C,C,D,D,A,B,16.704728905971262,9.844352635812443
D,B,A,D,B,B,7.608182142397647,9.901803044544666
A,C,A,E,B,B,7.537179445440425,9.902163068091369
A,A,E,B,B,A,9.770504488856083,9.923659030097411
C,E,A,E,B,A,13.21180409530285,10.01597018113957
D,C,E,A,C,B,6.720814720075545,10.05118317825996
A,B,A,B,A,B,18.730524016217846,10.066565261050616
B,A,A,B,A,B,18.80248052754755,10.090930176233094
A,C,D,E,C,B,8.049929986864992,10.095741836604695
B,A,D,E,A,B,15.600895815472136,10.122674194986445
C,D,C,B,A,B,15.436262429807465,10.150738401053797
D,A,E,C,C,A,10.419650489612437,10.193285215173432
E,B,B,E,A,A,17.69862233664955,10.196893875843404
C,A,D,A,C,C,15.013936003702389,10.209980669536524
D,A,D,B,B,A,8.877075325056946,10.224297872235253
D,B,D,D,A,A,19.565224568442748,10.283444870149554
A,E,D,D,C,B,0.5042540629688806,10.286393833433456
B,A,E,C,B,B,10.670773506069322,10.2910886340286
A,D,B,A,C,A,8.85080150322382,10.33201254410755
E,B,A,C,B,A,13.955584799722867,10.370032573871097
D,A,C,E,C,A,8.292895380322333,10.384635997050829
B,E,A,E,B,A,13.800658985689472,10.388504911526557
A,B,A,D,A,B,17.129170039112022,10.405839606583326
A,C,C,E,B,B,9.660508353209117,10.435793946436752
D,C,B,A,A,A,17.629018985859474,10.440011094382845
C,D,A,A,B,B,8.305238491552537,10.45374525869812
A,B,D,E,C,B,8.625883282574497,10.47425507630967
C,B,A,A,C,C,22.073116382422544,10.527278031117683
E,A,D,D,C,B,0.7495161410683844,10.53938254545141
C,B,C,A,A,B,17.23401432209909,10.608229203224903
D,A,B,A,C,A,9.476648077202116,10.614258479206091
E,A,A,A,C,A,6.541949419520838,10.63613060569274
C,D,B,A,A,A,17.487208119822288,10.639135627965675
C,D,B,A,C,B,9.01765627247671,10.661013754752029
D,A,A,E,C,B,3.7438909495609924,10.699059712096735
C,D,E,A,C,B,7.253206308209852,10.727672405296753
C,A,E,C,B,B,9.503969839832166,10.728859176602167
D,C,C,C,A,B,15.446490834216004,10.733922778935147
D,C,E,C,A,A,20.93195275312529,10.736677676015804
E,C,D,A,C,B,7.188943062857215,10.745042834699705
B,C,C,A,A,B,17.337961266468454,10.764823838512388
A,A,A,C,B,B,4.288619374111142,10.787757552127855
A,A,C,A,B,B,4.322812365368526,10.78956055754439
A,D,A,B,C,A,9.332063619372194,10.806579742590523
A,B,A,E,B,B,9.083670269152693,10.824220156587613
A,E,C,C,C,A,8.667123205108656,10.82649365073381
A,C,E,B,C,B,11.431308713468725,10.856119132087404
B,D,E,D,A,A,19.817552403082512,10.86110688854616
A,A,C,D,B,B,5.740475494017067,10.892832848900705
